College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City,State,Country,College Type,Average Fees,cutoff,Branch,Course
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Computer Science and Engineering
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.Tech,Information Technology
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Electronics and Communication Engineering
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Mechanical Engineering
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Biomedical Engineering
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Civil Engineering
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Electrical and Electronics Engineering
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Geoinformatics
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Industrial Engineering
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412,173,B.E,Manufacturing Engineering
